id,team1_name,team2_name,winner_name,team1_score,team2_score,bo_format,start_date,tournament_id,slug,round_id,team1_id,team2_id,winner_team_id,loser_team_id,status,bo_type,end_date,stage_id,maps_score,parsed_status,tier,tier_rank,position,team1_last_game_score,team2_last_game_score,game_version,team1_win,team2_win,match_name
119571,Legacy Br,Gamerlegion,Gamerlegion,1.0,2.0,BO3,2026-05-16 17:15:00+00:00,5108,legacy-br-vs-gamerlegion-16-05-2026,36619.0,8118.0,594.0,594.0,8118.0,finished,3,2026-05-16 20:04:01.864000+00:00,9914.0,"[True, False, True]",done,s,1,4.0,6.0,12.0,2.0,False,True,legacy-br-vs-gamerlegion
119570,Betboom Team,Natus Vincere,Natus Vincere,0.0,2.0,BO3,2026-05-16 21:00:00+00:00,5108,betboom-team-vs-natus-vincere-16-05-2026,36619.0,7498.0,787.0,787.0,7498.0,finished,3,2026-05-16 22:49:28.180000+00:00,9914.0,"[True, True, False]",done,s,1,2.0,6.0,12.0,2.0,False,True,betboom-team-vs-natus-vincere
119572,Legacy Br,Betboom Team,Betboom Team,0.0,2.0,BO3,2026-05-17 14:55:00+00:00,5108,legacy-br-vs-betboom-team-17-05-2026,36667.0,7498.0,8118.0,8118.0,7498.0,finished,3,2026-05-17 16:25:19.248000+00:00,9928.0,"[True, True, False]",done,s,1,2.0,3.0,12.0,2.0,False,True,legacy-br-vs-betboom-team
119573,Gamerlegion,Natus Vincere,Gamerlegion,3.0,0.0,BO5,2026-05-17 18:25:00+00:00,5108,gamerlegion-vs-natus-vincere-17-05-2026,36621.0,787.0,594.0,787.0,594.0,finished,5,2026-05-17 21:35:18.979000+00:00,9914.0,"[False, False, True, False, False]",done,s,1,1.0,15.0,13.0,2.0,True,False,gamerlegion-vs-natus-vincere
119511,G2,Fisher College,G2,2.0,0.0,BO3,2026-05-09 05:00:00+00:00,4207,g2-vs-fisher-college-09-05-2026,36599.0,793.0,10370.0,793.0,10370.0,finished,3,2026-05-09 06:30:43+00:00,9887.0,"[True, True, False]",done,s,1,,,,2.0,True,False,g2-vs-fisher-college
119512,Aurora Gaming,Heroic,Heroic,0.0,2.0,BO3,2026-05-09 05:00:00+00:00,4207,aurora-gaming-vs-heroic-09-05-2026,36599.0,3598.0,759.0,759.0,3598.0,finished,3,2026-05-09 06:51:08+00:00,9887.0,"[True, True, False]",done,s,1,,,,2.0,False,True,aurora-gaming-vs-heroic
119513,The Mongolz,Magic Ru,The Mongolz,2.0,0.0,BO3,2026-05-09 06:50:00+00:00,4207,the-mongolz-vs-magic-ru-09-05-2026,36599.0,736.0,22218.0,736.0,22218.0,finished,3,2026-05-09 09:29:19+00:00,9887.0,"[True, True, False]",done,s,1,,,,2.0,True,False,the-mongolz-vs-magic-ru
119514,Mousesports,Gentle Mates Cs,Mousesports,2.0,1.0,BO3,2026-05-09 07:05:00+00:00,4207,mousesports-vs-gentle-mates-cs-09-05-2026,36599.0,765.0,21396.0,765.0,21396.0,finished,3,2026-05-09 09:59:45+00:00,9887.0,"[True, False, True]",done,s,1,,,,2.0,True,False,mousesports-vs-gentle-mates-cs
119516,Spirit,The Huns Esports,Spirit,2.0,0.0,BO3,2026-05-09 10:00:00+00:00,4207,spirit-vs-the-huns-esports-09-05-2026,36599.0,654.0,9127.0,654.0,9127.0,finished,3,2026-05-09 11:24:39+00:00,9887.0,"[True, True, False]",done,s,1,,,,2.0,True,False,spirit-vs-the-huns-esports
119515,Falcons Esports,K27,Falcons Esports,2.0,0.0,BO3,2026-05-09 10:25:00+00:00,4207,falcons-esports-vs-k27-09-05-2026,36599.0,2713.0,10718.0,2713.0,10718.0,finished,3,2026-05-09 12:14:54+00:00,9887.0,"[True, True, False]",done,s,1,,,,2.0,True,False,falcons-esports-vs-k27
119517,Parivision,9Z,9Z,0.0,2.0,BO3,2026-05-09 11:40:00+00:00,4207,parivision-vs-9z-09-05-2026,36599.0,8171.0,324.0,324.0,8171.0,finished,3,2026-05-09 13:26:19+00:00,9887.0,"[True, True, False]",done,s,1,,,,2.0,False,True,parivision-vs-9z
119518,Furia,Monte,Furia,2.0,0.0,BO3,2026-05-09 12:30:00+00:00,4207,furia-vs-monte-09-05-2026,36599.0,648.0,3581.0,648.0,3581.0,finished,3,2026-05-09 13:55:40+00:00,9887.0,"[True, True, False]",done,s,1,,,,2.0,True,False,furia-vs-monte
119519,K27,Gentle Mates Cs,Gentle Mates Cs,1.0,2.0,BO3,2026-05-10 05:00:00+00:00,4207,k27-vs-gentle-mates-cs-10-05-2026,36600.0,10718.0,21396.0,21396.0,10718.0,finished,3,2026-05-10 07:59:43+00:00,9887.0,"[True, False, True]",done,s,1,,,,2.0,False,True,k27-vs-gentle-mates-cs
119520,Mousesports,G2,Mousesports,2.0,1.0,BO3,2026-05-10 05:00:00+00:00,4207,mousesports-vs-g2-10-05-2026,36600.0,765.0,793.0,765.0,793.0,finished,3,2026-05-10 08:23:50+00:00,9887.0,"[False, True, True]",done,s,1,,,,2.0,True,False,mousesports-vs-g2
